coin_name,total_cost,coin_count,price,likes,volume,supply
테더,"₩185,448,672,491,336",1,1398.66,0,"₩217,176,316,125,948","132,590,369,720 USDT"
비트코인,"₩185,448,672,491,336",2,136668816.12,0,"₩78,031,502,815,077","19,787,184 BTC"
이더리움,"₩185,448,672,491,336",3,4880079.44,0,"₩44,671,505,906,152","120,432,586 ETH"
리플,"₩185,448,672,491,336",4,2017.09,0,"₩15,278,231,067,365","56,998,852,241 XRP"
USDC,"₩185,448,672,491,336",5,1397.9,0,"₩13,210,844,838,471","38,915,142,947 USDC"
도지코인,"₩185,448,672,491,336",6,584.8,0,"₩12,554,933,079,237","146,938,336,384 DOGE"
First Digital USD,"₩185,448,672,491,336",7,1395.58,0,"₩11,552,744,183,519","2,163,578,790 FDUSD"
Stellar,"₩185,448,672,491,336",8,697.82,0,"₩9,894,032,195,369","30,024,368,390 XLM"
The Sandbox,"₩185,448,672,491,336",9,1019.22,0,"₩6,982,226,246,716","2,415,232,126 SAND"
솔라나,"₩185,448,672,491,336",10,348157.56,0,"₩6,750,445,673,427","474,726,431 SOL"
